longitude, latitude,name
-85.83359,33.65985,Cheaha Brewing
-85.7778,33.75948,Patriot Joe's Ales
-85.48127,32.60832,Olde Auburn Ale House
-85.48078,32.60986,Southern Farmhouse Ales
-86.77408,33.52456,Avondale Brewing
-86.81245,33.50736,Beer Engineers
-86.79376,33.51456,Cahaba Brewing
-86.81189,33.50713,Good People Brewing Co
-86.81151,33.52028,Emerald Coast Beer Co
-86.8471,33.4131,Hubcap Brewery and Kitchen
-86.7915,33.51287,Trim Tab Brewing
-86.84189,34.1769,Blue Moose Cafe & Brewpub
-86.81833,34.14128,Goat Island Brewing
-86.98673,34.60431,Cross-Eyed Owl Brewing
-85.3948,31.1487,Folklore Brewing and Meadery
-87.88494,30.51614,Fairhope Brewing
-87.65957,34.80437,Bluewater Brewing Co
-87.66978,34.80164,Singin' River Brewing
-86.00552,34.01565,Back Forty Beer Co
-87.68259,30.27826,Big Beach Brewing Co
-86.31416,34.33738,Main Channel Brewing
-86.794505,33.479303,Red Hills Brewing
-86.58566,34.73316,Below the Radar Brewing
-86.5839,34.73006,Green Bus Brewing
-86.57823,34.72277,Huntsville Brewery
-86.58525,34.74624,Mad Malts
-86.58474,34.73089,Old Black Bear Brewing
-86.59201,34.69238,Olde Towne Brewing
-86.63965,34.73661,Salty Nut Brewery
-86.59359,34.69482,Straight to Ale
-86.59919,34.72463,Yellowhammer Brewery
-85.7619,33.8138,Joe Beer Hand Crafted Ales
-87.26848,33.83249,Twisted Barley Brewing Co
-86.73821,34.68589,Blue Pants Brewery
-86.74858,34.69381,Madison Station Brewery & Cafe
-86.74832,34.69336,Old Black Bear Brewing
-86.77401,34.67277,Rocket Republic Brewing Co
-88.05138,30.68482,Haint Blue Brewing Co
-88.0434,30.69135,Hurricane Brewing Company
-88.045379,30.69556,Iron Hand Brewing Co
-88.049189,30.68811,Serda Brewing
-86.313602,32.37741,Common Bond Brewers
-86.26013,32.41409,Crazy Dane Brewing
-86.309542,32.3811,Railyard Brewing
-85.378762,32.649274,Red Clay Brewing Co
-85.010722,32.44579,Chattahoochee Brewing
-87.562254,33.19858,Band of Brothers Brewery
-87.566349,33.21076,Black Warrior Brewing Co
-87.543965,33.20004,Druid City Brewing
-149.89592,61.21963,49th State Brewing
-149.89645,61.21955,Anchorage Brewing
-149.88238,61.1683,Cynosure Brewing
-149.89625,61.21757,Glacier Brewhouse
-149.87859,61.14906,King Street Brewing Co
-149.84434,61.14727,Midnight Sun Brewing Co.
-149.84276,61.22295,Broken Tooth Brewing
-149.82259,61.21961,Resolution Brewing
-149.89587,61.21954,Sleeping Lady Brewing
-149.8996,61.21658,Turnagain Brewing
-149.57566,61.33486,Alaska Pacific Brewing
-149.58036,61.31932,Odd Man Rush Brewing
-149.56534,61.33562,Quake! Brewing
-147.75935,64.84856,HooDoo Brewing
-147.62716,64.95457,Silver Gulch Brewing & Bottling
-145.30269,62.30143,Gakona Brewery & Supply
-149.16639,60.9425,Bald Brothers Brewing
-135.46116,59.23208,Haines Brewing
-149.01665,63.86386,49th State Brewery
-151.5043,59.63956,Grace Ridge Brewing
-151.50851,59.63913,Homer Brewing
-135.44805,58.11291,Icy Strait Brewing
-134.48917,58.35695,Alaskan Brewing
-134.40604,58.30067,Devil's Club Brewing
-151.30604,60.66394,Kassik's Kenai Brew Stop
-131.81759,55.47237,Baleen Brewing
-152.40704,57.79054,Kodiak Island Brewing
-149.10588,61.58173,Arkose Brewing
-149.09031,61.57053,Bleeding Heart Brewery
-149.44049,60.10111,Seward Brewing
-135.30783,57.04993,Baranof Island Brewing Co
-135.2982,59.4724,Gold Rush Brewery
-135.31236,59.45652,Skagway Brewing
-151.05833,60.48778,Saint Elias Brewing Company
-151.06939,60.49352,Kenai River Brewing
-150.11412,62.32338,Denali Brewing Company
-146.35103,61.13699,Growler Bay Brewing
-149.33626,61.58498,Bearpaw River Brewing
-149.43941,61.58136,Last Frontier Brewing
-149.340087,61.596138,Quake Brewing Co
-111.56396,33.40729,Underground Brew Factory
-112.32614,33.45359,8-Bit Brewery
-109.93,31.39711,Beast Brewing
-109.91352,31.44284,Old Bisbee Brewing
-112.52841,33.43036,Veritas Brewing
-111.85464,34.56475,Verde Brewing-Bar & Restaurant
-111.88059,34.5801,Verde Brewing-Brewery & Tours
-111.9452,33.83186,Black Mountain Brewing
-111.90042,33.30556,BJ's Restaurant & Brewery
-111.84551,33.30459,SanTan Brewing
-111.8336,33.33434,SanTan Brewing #2
-111.84251,33.30016,The Perch Pub & Brewery
-112.02502,34.7338,THAT Brewery
-111.65141,35.19618,Beaver Street Brewery
-111.61168,35.21496,Cosmic Beer
-111.64957,35.19939,Dark Sky Brewing
-111.64896,35.19743,Flagstaff Brewing
-111.58663,35.21856,Historic Brewing
-111.64881,35.19494,Historic Brewing Taproom
-111.64871,35.1968,Lumberyard Brewing
-111.58626,35.2187,Mogollon Brewing
-111.65212,35.19692,Mother Road Brewing
-111.65059,35.19938,Trailhead Beer Co
-111.6178,35.20148,Wanderlust Brewing Company
-111.84111,33.36302,Arizona Wilderness Brewing
-111.74378,33.2976,Arriba Mexican Grill
-111.74353,33.30686,Gordon Biersch Brewing
-112.22952,33.64028,Arriba Mexican Grill
-112.2022,33.63976,Dubina Brewing Co
-112.20164,33.66726,Oggi's Pizza and Brewing
-112.22331,33.63831,Rock Bottom Restaurant & Brewery
-112.39565,33.45641,Saddle Mountain Brewing Co
-114.05194,35.18955,Black Bridge Brewery
-114.25912,34.45814,Barley Brothers Brewery and Grill
-114.34572,34.50764,College Street Brewhouse & Pub
-114.34462,34.47068,Copper Canyon Brewing
-114.34301,34.46949,Mudshark Brewing
-109.95655,34.14297,Pinetop Brewing
-112.23738,33.5806,Peoria Artisan Brewery
-111.0574,32.33547,Catalina Brewing
-111.20923,32.43719,Wicked Monkey Brewing
-111.80275,33.38465,Beer Research Institute
-111.83591,33.4153,Desert Eagle Brewing
-111.67737,33.39249,Lochiel Brewing
-111.8372,33.41537,Oro Brewing
-111.87395,33.58246,Rock Bottom Restaurant & Brewery
-110.94697,32.40086,Pueblo Vida Brewing
-112.27743,33.67789,Peoria Artisan Brewery
-112.11919,33.60981,Bold Barley Brewing
-112.08841,33.45574,Grand Avenue Brewing Co
-111.99623,33.4798,Helio Basin Brewing
-112.05707,33.50461,Helton Brewing Co
-112.03481,33.49518,Helton Brewing Co
-112.06483,33.45733,Mother Bunch Brewing
-112.06647,33.56806,North Mountain Brewing
-111.9759,33.49502,O.H.S.O. Eatery & nanoBrewery
-112.11326,33.45249,Old World Brewery
-111.97729,33.6775,Rock Bottom Restaurant & Brewery
-111.97604,33.31793,Rock Bottom Restaurant & Brewery
-112.06866,33.50954,SunUp Brewery
-112.01698,33.44821,The Phoenix Ale Brewery
-111.97652,33.31724,Uncle Bear's Brewhouse Grill
-112.02988,33.47132,Wen House Brewing Co
-111.4531,34.38286,THAT Brewery & Pub
-112.26699,33.55158,BJ's Restaurant & Brewhouse
-112.25895,33.56313,Freak'N Brewing
-112.49455,34.56577,Black Hole Beer Co
-112.47046,34.53924,Coppertop Alehouse
-112.4687,34.54275,Granite Mountain Brewing
-112.46973,34.54198,Prescott Brewing
-111.63953,33.21363,Owl's Orchard Brewery
-111.92451,33.49728,Bad Water Brewing
-111.92309,33.62654,Birreria Italia
-111.92366,33.58179,Fate Brewing
